,Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
10,Luna E-1 No.3,Luna E-1 No.3,4 December 1958,Luna,OKB-1,Impactor,
11,Luna E-1 No.3,Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.[3][5],Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.[3][5],Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.[3][5],Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.[3][5],Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.[3][5],Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.[3][5]
12,Pioneer 3,Pioneer 3,6 December 1958,Juno II,NASA,Flyby,
13,Pioneer 3,"Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 kilometres (63,600 mi).[8]","Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 kilometres (63,600 mi).[8]","Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 kilometres (63,600 mi).[8]","Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 kilometres (63,600 mi).[8]","Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 kilometres (63,600 mi).[8]","Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 kilometres (63,600 mi).[8]"
14,Luna 1 (E-1 No.4),Luna 1,2 January 1959,Luna,OKB-1,Impactor,
15,Luna 1 (E-1 No.4),"Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit.[9] Closest approach 5,995 kilometres (3,725 mi) on 4 January.[10] First spacecraft to fly by the Moon.","Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit.[9] Closest approach 5,995 kilometres (3,725 mi) on 4 January.[10] First spacecraft to fly by the Moon.","Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit.[9] Closest approach 5,995 kilometres (3,725 mi) on 4 January.[10] First spacecraft to fly by the Moon.","Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit.[9] Closest approach 5,995 kilometres (3,725 mi) on 4 January.[10] First spacecraft to fly by the Moon.","Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit.[9] Closest approach 5,995 kilometres (3,725 mi) on 4 January.[10] First spacecraft to fly by the Moon.","Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit.[9] Closest approach 5,995 kilometres (3,725 mi) on 4 January.[10] First spacecraft to fly by the Moon."
16,Pioneer 4,Pioneer 4,3 March 1959,Juno II,NASA,Flyby,
17,Pioneer 4,"Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.[11]","Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.[11]","Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.[11]","Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.[11]","Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.[11]","Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.[11]"
18,E-1A No.1,E-1A No.1,18 June 1959,Luna,OKB-1,Impactor,
19,E-1A No.1,Failed to orbit; guidance system malfunction.[9],Failed to orbit; guidance system malfunction.[9],Failed to orbit; guidance system malfunction.[9],Failed to orbit; guidance system malfunction.[9],Failed to orbit; guidance system malfunction.[9],Failed to orbit; guidance system malfunction.[9]
20,Luna 2 (E-1A No.2),Luna 2,12 September 1959,Luna,OKB-1,Impactor,
21,Luna 2 (E-1A No.2),Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.[12] The impact made the Soviet Union the 1st country to reach the surface of the Moon.,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.[12] The impact made the Soviet Union the 1st country to reach the surface of the Moon.,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.[12] The impact made the Soviet Union the 1st country to reach the surface of the Moon.,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.[12] The impact made the Soviet Union the 1st country to reach the surface of the Moon.,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.[12] The impact made the Soviet Union the 1st country to reach the surface of the Moon.,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.[12] The impact made the Soviet Union the 1st country to reach the surface of the Moon.
22,Luna 3 (E-2A No.1),Luna 3,4 October 1959,Luna,OKB-1,Flyby,
23,Luna 3 (E-2A No.1),Returned first images of the far side of the Moon.[13],Returned first images of the far side of the Moon.[13],Returned first images of the far side of the Moon.[13],Returned first images of the far side of the Moon.[13],Returned first images of the far side of the Moon.[13],Returned first images of the far side of the Moon.[13]
24,Pioneer P-3 Able IVB,Pioneer P-3,26 November 1959,Atlas-D Able,NASA,Orbiter,
25,Pioneer P-3 Able IVB,Failed to orbit;[14] payload fairing disintegrated due to design fault.[9],Failed to orbit;[14] payload fairing disintegrated due to design fault.[9],Failed to orbit;[14] payload fairing disintegrated due to design fault.[9],Failed to orbit;[14] payload fairing disintegrated due to design fault.[9],Failed to orbit;[14] payload fairing disintegrated due to design fault.[9],Failed to orbit;[14] payload fairing disintegrated due to design fault.[9]
26,Luna E-3 No.1,Luna E-3 No.1,15 April 1960,Luna,OKB-1,Flyby,
27,Luna E-3 No.1,Failed to orbit; premature third-stage cutoff.[15],Failed to orbit; premature third-stage cutoff.[15],Failed to orbit; premature third-stage cutoff.[15],Failed to orbit; premature third-stage cutoff.[15],Failed to orbit; premature third-stage cutoff.[15],Failed to orbit; premature third-stage cutoff.[15]
28,Luna E-3 No.2,Luna E-3 No.2,16 April 1960,Luna,OKB-1,Flyby,
29,Luna E-3 No.2,Failed to orbit; rocket disintegrated ten seconds after launch.[15],Failed to orbit; rocket disintegrated ten seconds after launch.[15],Failed to orbit; rocket disintegrated ten seconds after launch.[15],Failed to orbit; rocket disintegrated ten seconds after launch.[15],Failed to orbit; rocket disintegrated ten seconds after launch.[15],Failed to orbit; rocket disintegrated ten seconds after launch.[15]
30,Pioneer P-30 (Able VA),Pioneer P-30,25 September 1960,Atlas-D Able,NASA,Orbiter,
31,Pioneer P-30 (Able VA),Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff.[16][15],Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff.[16][15],Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff.[16][15],Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff.[16][15],Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff.[16][15],Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff.[16][15]
32,Pioneer P-31 (Able VB),Pioneer P-31,15 December 1960,Atlas-D Able,NASA,Orbiter,
33,Pioneer P-31 (Able VB),"Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.[17][15]","Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.[17][15]","Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.[17][15]","Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.[17][15]","Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.[17][15]","Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.[17][15]"
34,Ranger 3 (P-34),Ranger 3,26 January 1962,Atlas LV-3 Agena-B,NASA,Impactor,
35,Ranger 3 (P-34),Ranger 3 lander,26 January 1962,Atlas LV-3 Agena-B,NASA,Lander,
36,Ranger 3 (P-34),"Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).[18][19]","Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).[18][19]","Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).[18][19]","Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).[18][19]","Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).[18][19]","Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).[18][19]"
37,Ranger 4 (P-35),Ranger 4,23 April 1962,Atlas LV-3 Agena-B,NASA,Impactor,
38,Ranger 4 (P-35),Ranger 4 lander,23 April 1962,Atlas LV-3 Agena-B,NASA,Lander,
39,Ranger 4 (P-35),"Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon.[18][20] The impact made the United States the 2nd country to reach the surface of the Moon.","Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon.[18][20] The impact made the United States the 2nd country to reach the surface of the Moon.","Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon.[18][20] The impact made the United States the 2nd country to reach the surface of the Moon.","Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon.[18][20] The impact made the United States the 2nd country to reach the surface of the Moon.","Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon.[18][20] The impact made the United States the 2nd country to reach the surface of the Moon.","Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon.[18][20] The impact made the United States the 2nd country to reach the surface of the Moon."
40,Ranger 5 (P-36),Ranger 5,18 October 1962,Atlas LV-3 Agena-B,NASA,Impactor,
41,Ranger 5 (P-36),Ranger 5 lander,18 October 1962,Atlas LV-3 Agena-B,NASA,Lander,
42,Ranger 5 (P-36),"Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted.[18] Missed the Moon as course correction was not completed.[21]","Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted.[18] Missed the Moon as course correction was not completed.[21]","Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted.[18] Missed the Moon as course correction was not completed.[21]","Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted.[18] Missed the Moon as course correction was not completed.[21]","Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted.[18] Missed the Moon as course correction was not completed.[21]","Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted.[18] Missed the Moon as course correction was not completed.[21]"
43,Luna E-6 No.2,Luna E-6 No.2,4 January 1963,Molniya-L,OKB-1,Lander,
44,Luna E-6 No.2,Failed to depart Low Earth orbit;[22] guidance system power failure prevented upper-stage ignition.[23],Failed to depart Low Earth orbit;[22] guidance system power failure prevented upper-stage ignition.[23],Failed to depart Low Earth orbit;[22] guidance system power failure prevented upper-stage ignition.[23],Failed to depart Low Earth orbit;[22] guidance system power failure prevented upper-stage ignition.[23],Failed to depart Low Earth orbit;[22] guidance system power failure prevented upper-stage ignition.[23],Failed to depart Low Earth orbit;[22] guidance system power failure prevented upper-stage ignition.[23]
45,Luna E-6 No.3,Luna E-6 No.3,3 February 1963,Molniya-L,OKB-1,Lander,
46,Luna E-6 No.3,Failed to orbit; guidance failure.[23],Failed to orbit; guidance failure.[23],Failed to orbit; guidance failure.[23],Failed to orbit; guidance failure.[23],Failed to orbit; guidance failure.[23],Failed to orbit; guidance failure.[23]
47,Luna 4 (E-6 No.4),Luna 4,2 April 1963,Molniya-L,OKB-1,Lander,
48,Luna 4 (E-6 No.4),"Failed to perform mid-course correction,[23] remained in high Earth orbit until given escape velocity by orbital perturbation.[24]","Failed to perform mid-course correction,[23] remained in high Earth orbit until given escape velocity by orbital perturbation.[24]","Failed to perform mid-course correction,[23] remained in high Earth orbit until given escape velocity by orbital perturbation.[24]","Failed to perform mid-course correction,[23] remained in high Earth orbit until given escape velocity by orbital perturbation.[24]","Failed to perform mid-course correction,[23] remained in high Earth orbit until given escape velocity by orbital perturbation.[24]","Failed to perform mid-course correction,[23] remained in high Earth orbit until given escape velocity by orbital perturbation.[24]"
49,Ranger 6 (P-54),Ranger 6,30 January 1964,Atlas LV-3 Agena-B,NASA,Impactor,
50,Ranger 6 (P-54),"Impacted on 2 February 1964, failed to return images due to power system failure.[25][26]","Impacted on 2 February 1964, failed to return images due to power system failure.[25][26]","Impacted on 2 February 1964, failed to return images due to power system failure.[25][26]","Impacted on 2 February 1964, failed to return images due to power system failure.[25][26]","Impacted on 2 February 1964, failed to return images due to power system failure.[25][26]","Impacted on 2 February 1964, failed to return images due to power system failure.[25][26]"
51,Luna E-6 No.6,Luna E-6 No.6,21 March 1964,Molniya-M,OKB-1,Lander,
52,Luna E-6 No.6,Failed to orbit; third stage underperformed due to oxidiser valve failure.[25],Failed to orbit; third stage underperformed due to oxidiser valve failure.[25],Failed to orbit; third stage underperformed due to oxidiser valve failure.[25],Failed to orbit; third stage underperformed due to oxidiser valve failure.[25],Failed to orbit; third stage underperformed due to oxidiser valve failure.[25],Failed to orbit; third stage underperformed due to oxidiser valve failure.[25]
53,Luna E-6 No.5,Luna E-6 No.5,20 April 1964,Molniya-M,OKB-1,Lander,
54,Luna E-6 No.5,Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.[25],Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.[25],Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.[25],Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.[25],Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.[25],Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.[25]
55,Ranger 7,Ranger 7,28 July 1964,Atlas LV-3 Agena-B,NASA,Impactor,
56,Ranger 7,Impacted on 30 July 1964 at 13:25:48 UTC.[27],Impacted on 30 July 1964 at 13:25:48 UTC.[27],Impacted on 30 July 1964 at 13:25:48 UTC.[27],Impacted on 30 July 1964 at 13:25:48 UTC.[27],Impacted on 30 July 1964 at 13:25:48 UTC.[27],Impacted on 30 July 1964 at 13:25:48 UTC.[27]
57,Ranger 8,Ranger 8,17 February 1965,Atlas LV-3 Agena-B,NASA,Impactor,
58,Ranger 8,Impacted on 20 February 1965 at 09:57:37 UTC.[28][29],Impacted on 20 February 1965 at 09:57:37 UTC.[28][29],Impacted on 20 February 1965 at 09:57:37 UTC.[28][29],Impacted on 20 February 1965 at 09:57:37 UTC.[28][29],Impacted on 20 February 1965 at 09:57:37 UTC.[28][29],Impacted on 20 February 1965 at 09:57:37 UTC.[28][29]
59,Kosmos 60 (E-6 No.9),Kosmos 60,12 March 1965,Molniya-L,Lavochkin,Lander,
60,Kosmos 60 (E-6 No.9),"Upper stage failed to restart due to guidance system short circuit,[28] Failed to depart low Earth orbit.[30]","Upper stage failed to restart due to guidance system short circuit,[28] Failed to depart low Earth orbit.[30]","Upper stage failed to restart due to guidance system short circuit,[28] Failed to depart low Earth orbit.[30]","Upper stage failed to restart due to guidance system short circuit,[28] Failed to depart low Earth orbit.[30]","Upper stage failed to restart due to guidance system short circuit,[28] Failed to depart low Earth orbit.[30]","Upper stage failed to restart due to guidance system short circuit,[28] Failed to depart low Earth orbit.[30]"
61,Ranger 9,Ranger 9,21 March 1965,Atlas LV-3 Agena-B,NASA,Impactor,
62,Ranger 9,Impacted on 24 March 1965 at 14:08:20 UTC.[28][31],Impacted on 24 March 1965 at 14:08:20 UTC.[28][31],Impacted on 24 March 1965 at 14:08:20 UTC.[28][31],Impacted on 24 March 1965 at 14:08:20 UTC.[28][31],Impacted on 24 March 1965 at 14:08:20 UTC.[28][31],Impacted on 24 March 1965 at 14:08:20 UTC.[28][31]
63,Luna E-6 No.8,Luna E-6 No.8,10 April 1965,Molniya-L,Lavochkin,Lander,
64,Luna E-6 No.8,"Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.[28]","Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.[28]","Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.[28]","Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.[28]","Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.[28]","Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.[28]"
65,Luna 5 (E-6 No.10),Luna 5,9 May 1965,Molniya-M,Lavochkin,Lander,
66,Luna 5 (E-6 No.10),"Loss of control after gyroscope malfunction,[28] failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]","Loss of control after gyroscope malfunction,[28] failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]","Loss of control after gyroscope malfunction,[28] failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]","Loss of control after gyroscope malfunction,[28] failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]","Loss of control after gyroscope malfunction,[28] failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]","Loss of control after gyroscope malfunction,[28] failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]"
67,Luna 6 (E-6 No.7),Luna 6,8 June 1965,Molniya-M,Lavochkin,Lander,
68,Luna 6 (E-6 No.7),"Engine failed to shut down after performing mid-course correction manoeuvre,[28] flew past the Moon in a heliocentric orbit.[33]","Engine failed to shut down after performing mid-course correction manoeuvre,[28] flew past the Moon in a heliocentric orbit.[33]","Engine failed to shut down after performing mid-course correction manoeuvre,[28] flew past the Moon in a heliocentric orbit.[33]","Engine failed to shut down after performing mid-course correction manoeuvre,[28] flew past the Moon in a heliocentric orbit.[33]","Engine failed to shut down after performing mid-course correction manoeuvre,[28] flew past the Moon in a heliocentric orbit.[33]","Engine failed to shut down after performing mid-course correction manoeuvre,[28] flew past the Moon in a heliocentric orbit.[33]"
69,Zond 3 (3MV-4 No.3),Zond 3,18 July 1965,Molniya,Lavochkin,Flyby,
70,Zond 3 (3MV-4 No.3),"Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi).[34] Conducted technology demonstration for future planetary missions.[28]","Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi).[34] Conducted technology demonstration for future planetary missions.[28]","Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi).[34] Conducted technology demonstration for future planetary missions.[28]","Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi).[34] Conducted technology demonstration for future planetary missions.[28]","Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi).[34] Conducted technology demonstration for future planetary missions.[28]","Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi).[34] Conducted technology demonstration for future planetary missions.[28]"
71,Luna 7 (E-6 No.11),Luna 7,4 October 1965,Molniya,Lavochkin,Lander,
72,Luna 7 (E-6 No.11),Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35],Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35],Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35],Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35],Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35],Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35]
73,Luna 8 (E-6 No.12),Luna 8,3 December 1965,Molniya,Lavochkin,Lander,
